name;price;found_in_page
Celular Apple iPhone 11 Pro 64gb / Tela 5.8'' / 12MP / iOS 13;6239.0;1
iPhone XR Apple Preto 64GB, Tela Retina LCD de 6,1”, iOS 12, Câmera Traseira 12MP, Resistente à Água e Reconhecimento Facial;6552.0;1
iPhone 7 32GB Preto Matte 4G Tela 4.7 Retina - Cam. 12MP + Selfie 7MP iOS 11 - Apple;2399.9;1
Iphone Xr Apple Preto, 64gb Desbloqueado - Mry42br/a;;1
Novo Iphone Xr 64Gb Branco Ios 12 4G ...;;1
Xiaomi Redmi Note 9 128GB 4GB RAM - Versão Global - Midnight Grey;1529.0;1
Iphone 11 Apple Preto, 128gb Desbloqueado - Mwm02br/a;5404.98;1
Celular Smartphone Xiaomi Note 9 Forest Green 128GB + 4GB RAM- Versão Global;1520.0;1
Iphone Xr Apple Branco, 128gb Desbloqueado - Mryd2br/a;3665.0;1
Iphone 11 Apple (product) Vermelho, 128gb Desbloqueado - Mwm32br/a;4859.0;1
Smartphone Xiaomi Redmi Note 8 64gb Moonlight (Branco);1399.0;1
Iphone 11 Pro Max Apple Dourado, 512gb Desbloqueado - Mwhq2bz/a;8974.98;1
Película De Vidro Temperado 3D Full Cover Para iPhone 11 Com Tela De 6.1 - Proteção Blindada Top Premium Que Cobre Toda A Tela - Danet;44.99;1
"iPhone SE 64GB Black Novo Desbloqueado Tela 4,7"" Apple";2936.73;1
Iphone 11 Pro Max Apple Verde meia-noite, 256gb Desbloqueado - Mwhm2bz/a;8054.94;1
"IPHONE 11 PRETO, TELA DE 6,1"", 4G, 64 GB E CÂMERA DE 12 MP";4450.94;1
"IPHONE 11 BRANCO, TELA DE 6,1"", 4G, 64 GB E CÂMERA DE 12 MP";;1
Iphone Xs 64Gb Prata (Prata);5399.0;1
Iphone 11 Pro Max Apple Cinza Espacial, 512gb Desbloqueado - Mwhn2bz/a;8974.98;1
Capa iPhone 11 Pro Max Spigen Ultra Hybrid Matte Black, Spigen, Capa Anti-Impacto, Preto;149.0;1
Capa Poliuretano, Elfo, Iphone XR, Capa Protetora para Celular, Transparente;18.09;1
Iphone 11 Apple Verde, 64gb;5098.98;1
Celular Apple iPhone 11 64gb / Tela 6.1'' / 12MP / iOS 13;;1
Supernatural - Season 6;;1
Redmi Note 9S Aurora Blue 6GB RAM 128GB;1884.0;1
Carregador de parede universal 2.1A, 2 portas USB, bivolt, Branco, ESACW2, Geonav;27.9;1
Celular Xiaomi Note 8 64GB Rom 4GB Ram Dual Versão Global Space Black;1327.96;1
Pelicula NanoShield para Apple iPhone XR, HPrime, Película Protetora de Tela para Celular, Transparente;28.16;1
Capa iPhone XR WB Liberty Anti Queda Apoio Horizontal;69.9;1
Capa protetora iPhone XR, TPU flexível nas extremidades, Transparente, CLIXR, Geonav;49.0;1
Capa Protetora, Muvit, Capa com Proteção Completa (Carcaça+Tela), Transparente;24.35;1
Cabo Lightning Certificado Apple MFi, Anker Powerline II, 3 metros, 12x mais resistente, Preto;88.67;1
Smartphone Iphone 6s 64gb Cinza Espacial;;1
Iphone 8 Plus Apple Cinza Espacial, 128gb Desbloqueado - Mx242br/a;;1
iPhone Tipps und Tricks für Dummies;96.12;1
Smartphone Xiaomi Redmi Note 6 Pro 64GB 4GB RAM Preto;1555.18;1
Cabo iPhone, iPad, iPod Lightning conector original Mfi Apple, nylon trançado, 1MT, Cinza Escuro, ESLISG, Geonav;78.65;1
Iphone 11 Pro Apple Prata, 512gb Desbloqueado - Mwce2bz/a;8362.98;1
Pelicula NanoShield para Apple iPhone 7/8, HPrime, Película Protetora de Tela para Celular, Transparente;36.73;1
Cabo Usb-Iphone 5/6, Plus Cable, 441020700302, Branco;49.9;1
Iphone 11 Pro Max Apple Prata, 512gb Desbloqueado - Mwhp2bz/a;8974.98;1
Cabo Usb-Lightning, C3TECH, 441010500905, Dourado;20.02;1
Case para iPhone 11 - Couro Legítimo - Feito à Mão no Brasil;120.0;1
Iphone 11 Pro Apple Cinza Espacial, 256gb Desbloqueado - Mwc72bz/a;6935.0;1
iMix, iMake, iCreate on an iPhone;145.0;1
Xiaomi Redmi Note 9 128GB 4GB RAM - Versão Global - Polar White;1538.99;1
Iphone Se Apple (product) Vermelhotm, 128gb Desbloqueado - Mxd22bz/a;3559.0;1
Anker - Capa para iPhone 7 Plus / iPhone 8 Plus, Kaparax Touch, TPU Anti-Amarelamento, Suporta Carregamento Wireless, Preto;79.9;1
